Feature,Interest_512,Compound_Name,NPC_Class,NPC_Pathway,ClassyFire_Class
2236825,Yes,NA,Cephalosporins,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
2259404,Yes,NA,Oxidized glycerophospholipids,Fatty acids,Phosphatidylcholines
2261209,Yes,NA,Ceramides,Fatty acids,Ceramides
22706,Yes,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Benzene and substituted derivatives
2276715,Yes,NA,Tripeptides,Amino acids and Peptides,Peptides
2277063,Yes,NA,Ceramides,Fatty acids,Ceramides
2278104,Yes,NA,Labdane diterpenoids,Terpenoids,Terpene glycosides
2279051,Yes,Phe-CA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
22841,Yes,NA,Wax monoesters,Fatty acids,Organooxygen compounds
23014,Yes,NA,NA,NA,NA
2322261,Yes,Arginine conjugated cholic acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2336518,Yes,NA,N-acyl amines,Amino acids and Peptides,Peptides
2336527,Yes,NA,Acyclic triterpenoids,Terpenoids,Lipids and lipid-like molecules
2338171,Yes,NA,Diacylglycerols,Fatty acids,"1,2-diacylglycerols"
2340254,Yes,NA,Phosphosphingolipids,Fatty acids,Alpha amino acid amides
2345714,Yes,NA,Cholane steroids,Terpenoids,Diterpene glycosides
2347746,Yes,"""((4R)-4-((3R,5S,7R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoyl)tyrosine""",Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2347752,Yes,Tyrosocholic acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2377317,Yes,NA,Cyclic peptides,Amino acids and Peptides,Hybrid peptides
2377432,Yes,NA,Tripeptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
2384192,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2408600,Yes,NA,Imidazole alkaloids,Alkaloids,Bilirubins
2414214,Yes,NA,Linear peptides,Amino acids and Peptides,Depsipeptides
2418407,Yes,NA,Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
2418506,Yes,NA,Imidazole alkaloids,Alkaloids,Bilirubins
2418508,Yes,NA,Depsipeptides,Amino acids and Peptides,Tetrapyrroles and derivatives
2423954,Yes,NA,Polyamines,Alkaloids,Alpha amino acid amides
2423963,Yes,NA,Depsipeptides,Polyketides,Tetrapyrroles and derivatives
2424082,Yes,NA,Depsipeptides,Amino acids and Peptides,Alpha amino acid esters
2424181,Yes,NA,Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
2427709,Yes,NA,Terpenoid alkaloids,Terpenoids,Amino acids and derivatives
2427712,Yes,NA,Linear peptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
2429384,Yes,NA,Tripeptides,Amino acids and Peptides,Gamma-glutamyl peptides
2440517,Yes,NA,Triacylglycerols,Fatty acids,Triradylcglycerols
2465129,Yes,NA,Cholestane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
2492252,Yes,NA,Tripeptides,Amino acids and Peptides,Phenylalanine and derivatives
2498444,Yes,NA,Diacylglycerols,Fatty acids,Lineolic acids and derivatives
2507260,Yes,NA,Cyclic peptides,Amino acids and Peptides,Alpha amino acids and derivatives
25322,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amphetamines and derivatives
25369,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Phenethylamines
25384,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Benzamides
2552029,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2557258,Yes,NA,Pyridine alkaloids,Alkaloids,Phenyl thiophosphates
25597,Yes,NA,Polyamines,Alkaloids,Thioethers
25610,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amphetamines and derivatives
25630,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amphetamines and derivatives
2578565,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
25836,Yes,NA,Polyamines,Fatty acids,Alkanolamines
25846,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amphetamines and derivatives
25860,Yes,NA,NA,NA,NA
2589367,Yes,NA,Cyclic peptides,Amino acids and Peptides,Cyclic depsipeptides
25912,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amphetamines and derivatives
2604505,Yes,NA,N-acyl amines,Amino acids and Peptides,Alpha amino acids and derivatives
2604510,Yes,NA,Monocyclic guanidine alkaloids,Alkaloids,Amino acids and derivatives
2607802,Yes,NA,Linear peptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
2612095,Yes,NA,Linear peptides,Fatty acids,N-acyl-alpha amino acids and derivatives
26133,Yes,NA,NA,NA,NA
2626782,Yes,NA,Open-chain polyketides,Polyketides,O-glycosyl compounds
26544,Yes,NA,NA,NA,NA
267934,Yes,NA,NA,NA,NA
2686856,Yes,NA,Open-chain polyketides,Alkaloids,Dicarboxylic acids and derivatives
2718382,Yes,NA,Linear peptides,Polyketides,Depsipeptides
2739417,Yes,NA,Penicillins,Amino acids and Peptides,Peptides
2774100,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2814190,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
28352,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Benzene and substituted derivatives
2847877,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Phosphatidylethanolamines
2850938,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2862618,Yes,NA,Polyether ionophores,Terpenoids,Diterpenoids
2867502,Yes,"""(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Polyamines,Alkaloids,Steroids and steroid derivatives
2868444,Yes,NA,Linear peptides,Amino acids and Peptides,Oligopeptides
2868445,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2891591,Yes,NA,Linear peptides,Amino acids and Peptides,Oligopeptides
2894005,Yes,NA,NA,NA,NA
2894013,Yes,NA,NA,NA,NA
2894018,Yes,NA,NA,NA,NA
2919187,Yes,"""(4R)-4-((3S,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2919197,Yes,NA,Cholestane steroids,Amino acids and Peptides,"Hydroxy bile acids, alcohols and derivatives"
2924759,Yes,NA,Triacylglycerols,Terpenoids,Steroid esters
2929121,Yes,"""(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Terpenoids,Oligopeptides
2929132,Yes,"""(4R)-4-((3R,5R,6S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Triacylglycerols,Fatty acids,Fatty alcohols
2929134,Yes,Spectral Match to Deoxycholic acid from NIST14,Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
2929135,Yes,"""(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
2929144,Yes,"""(4R)-4-((3R,5R,6S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
2929152,Yes,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
2929158,Yes,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
2929164,Yes,"""(R)-4-((3R,5S,8R,9S,10S,12R,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Oligopeptides
2929205,Yes,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
2944873,Yes,NA,Linear peptides,Amino acids and Peptides,Oligopeptides
2958276,Yes,NA,Cholestane steroids,Terpenoids,12-hydroxysteroids
2958997,Yes,NA,Cholestane steroids,Terpenoids,Glycinated bile acids and derivatives
2959856,Yes,NA,Linear peptides,Amino acids and Peptides,Oligopeptides
2960454,Yes,NA,Cholestane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
2962175,Yes,NA,Cholestane steroids,Terpenoids,Glycinated bile acids and derivatives
2962470,Yes,NA,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
2965858,Yes,"""(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Oligopeptides
2965859,Yes,"""(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Triacylglycerols,Terpenoids,Steroid esters
2965891,Yes,"""(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Linear peptides,Amino acids and Peptides,Oligopeptides
2965910,Yes,"""(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Oligopeptides
2965928,Yes,"""(4R)-4-((5S,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,Glycinated bile acids and derivatives
2973923,Yes,NA,Cholestane steroids,Terpenoids,Steroid esters
2981490,Yes,NA,Cholestane steroids,Terpenoids,Steroid esters
2981526,Yes,NA,Stigmastane steroids,Terpenoids,Triterpenoids
2984509,Yes,Spectral Match to Cholic acid from NIST14,Stigmastane steroids,Terpenoids,Triterpenoids
2984511,Yes,"""(4R)-4-((3S,5R,6S,7S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Stigmastane steroids,Terpenoids,Triterpenoids
2984518,Yes,"""(4R)-4-((3S,5R,6S,7S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
2984534,Yes,"""(4R)-4-((3S,5R,6S,7S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,Steroid esters
2984535,Yes,"""(4R)-4-((3S,5R,6S,7S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,Triterpenoids
2984568,Yes,"""(4R)-4-((3S,5R,6S,7S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,Steroid esters
2989837,Yes,NA,Polyamines,Fatty acids,Isoleucine and derivatives
2992139,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2992140,Yes,"""methyl (4R)-4-((5R,8S,9S,10R,13R,17R)-10,13-dimethyl-3,6-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate""",Triacylglycerols,Fatty acids,Triacylglycerols
2997816,Yes,NA,Cholestane steroids,Amino acids and Peptides,Glycinated bile acids and derivatives
3000216,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
3000301,Yes,NA,Glycerophosphocholines,Fatty acids,Phosphatidylcholines
3001919,Yes,Cholic acid,Lipopeptides,Amino acids and Peptides,Glycinated bile acids and derivatives
3001937,Yes,Cholic acid,Lipopeptides,Amino acids and Peptides,Peptides
3002460,Yes,"""(4R,E)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enoic acid""",Cholestane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
3003862,Yes,NA,Lipopeptides,Amino acids and Peptides,Glycinated bile acids and derivatives
3004461,Yes,NA,Steroidal alkaloids,Terpenoids,Steroids and steroid derivatives
3004705,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
3004708,Yes,NA,Polyamines,Alkaloids,Dialkylarylamines
3004917,Yes,NA,Lipopeptides,Amino acids and Peptides,Glycinated bile acids and derivatives
3006937,Yes,"""(4R)-4-((3R,5S,7R,8R,9S,10S,13S,14S,16R)-3,7,16-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Glycinated bile acids and derivatives
3006938,Yes,"""(4R)-4-((3R,5S,7R,8R,9S,10S,13S,14S,16R)-3,7,16-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Oligopeptides
3006946,Yes,"""(R)-4-((3R,5S,7R,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,Glycinated bile acids and derivatives
3006956,Yes,"""(R)-4-((3R,5S,7R,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Lipopeptides,Amino acids and Peptides,Glycinated bile acids and derivatives
3006993,Yes,"""(R)-4-((3S,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Dammarane and Protostane triterpenoids,Terpenoids,Triterpene saponins
3007009,Yes,"""(R)-4-((3S,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Linear peptides,Amino acids and Peptides,Oligopeptides
3007598,Yes,NA,Lipopeptides,Terpenoids,Glycinated bile acids and derivatives
3007625,Yes,NA,Neutral glycosphingolipids,Fatty acids,Glycosyl-N-acylsphingosines
3013347,Yes,NA,Polyamines,Amino acids and Peptides,Oligopeptides
3047052,Yes,NA,NA,NA,NA
3051904,Yes,NA,NA,NA,NA
3062239,Yes,NA,NA,NA,NA
3091763,Yes,NA,NA,NA,NA
3091780,Yes,NA,NA,NA,NA
3091791,Yes,NA,NA,NA,NA
3091866,Yes,NA,NA,NA,NA
3128843,Yes,NA,NA,NA,NA
3153367,Yes,NA,NA,NA,NA
3153368,Yes,NA,NA,NA,NA
3153686,Yes,NA,NA,NA,NA
3153687,Yes,NA,NA,NA,NA
3154296,Yes,NA,NA,NA,NA
3161112,Yes,NA,NA,NA,NA
3161113,Yes,NA,NA,NA,NA
316260,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amino acids and derivatives
316387,Yes,NA,Phenylalanine-derived alkaloids,Alkaloids,Amino acids and derivatives
3172500,Yes,NA,NA,NA,NA
3175726,Yes,NA,NA,NA,NA
3175786,Yes,NA,NA,NA,NA
3176344,Yes,NA,NA,NA,NA
3176346,Yes,NA,NA,NA,NA
3176347,Yes,NA,NA,NA,NA
3176503,Yes,NA,NA,NA,NA
3176577,Yes,NA,NA,NA,NA
3176798,Yes,NA,NA,NA,NA
3176799,Yes,NA,NA,NA,NA
3176800,Yes,NA,NA,NA,NA
3176846,Yes,NA,NA,NA,NA
3176968,Yes,Cholic acid,NA,NA,NA
3176969,Yes,Cholic acid,NA,NA,NA
3176988,Yes,NA,NA,NA,NA
3177537,Yes,Cholic acid,NA,NA,NA
3177541,Yes,Cholic acid,NA,NA,NA
3177550,Yes,NA,NA,NA,NA
3177588,Yes,Cholic acid,NA,NA,NA
3177608,Yes,NA,NA,NA,NA
3179544,Yes,NA,NA,NA,NA
3180023,Yes,NA,NA,NA,NA
3180030,Yes,NA,NA,NA,NA
3180033,Yes,NA,NA,NA,NA
3180035,Yes,NA,NA,NA,NA
3180038,Yes,NA,NA,NA,NA
3180041,Yes,NA,NA,NA,NA
3180043,Yes,NA,NA,NA,NA
3197649,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
3228894,Yes,NA,Purine nucleos(t)ides,Carbohydrates,Alpha amino acids and derivatives
323599,Yes,NA,Fatty alcohols,Fatty acids,Fatty alcohols
3260648,Yes,NA,Cannabinoids,Terpenoids,Benzenoids
3261745,Yes,NA,Wax monoesters,Fatty acids,Fatty Acyls
3262152,Yes,NA,Monoacylglycerols,Fatty acids,Dialkylthioethers
333041,Yes,NA,Dipeptides,Alkaloids,Fatty Acyls
34720,Yes,NA,NA,NA,NA
348168,Yes,Spectral Match to Equol from NIST14,Imidazole alkaloids,Alkaloids,Phenol ethers
348178,Yes,NA,Isoflavanones,Shikimates and Phenylpropanoids,Isoflavanols
35288,Yes,NA,Pyridine alkaloids,Alkaloids,Organosulfonic acids and derivatives
353723,Yes,NA,NA,NA,NA
36002,Yes,NA,NA,NA,NA
3653,Yes,NA,NA,NA,NA
36879,Yes,NA,Quinazoline alkaloids,Alkaloids,Imidazopyrimidines
386800,Yes,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
389028,Yes,NA,NA,NA,NA
40309,Yes,NA,Imidazole alkaloids,Alkaloids,Heteroaromatic compounds
40324,Yes,NA,NA,NA,NA
40382,Yes,NA,NA,NA,NA
40579,Yes,NA,NA,NA,NA
40889,Yes,NA,NA,NA,NA
41320,Yes,NA,NA,NA,NA
41382,Yes,NA,NA,NA,NA
41416,Yes,NA,NA,NA,NA
41419,Yes,NA,NA,NA,NA
41449,Yes,NA,NA,NA,NA
42185,Yes,NA,NA,NA,NA
43782,Yes,NA,NA,NA,NA
43936,Yes,NA,NA,NA,NA
43953,Yes,NA,NA,NA,NA
43957,Yes,NA,Pyrrolidine alkaloids,Fatty acids,Alpha amino acids and derivatives
44290,Yes,NA,NA,NA,NA
44413,Yes,NA,NA,NA,NA
44444,Yes,NA,Isocoumarins,Alkaloids,Carboxylic acids and derivatives
44445,Yes,NA,pteridine alkaloids,Alkaloids,Nitroaromatic compounds
44465,Yes,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
44566,Yes,NA,pteridine alkaloids,Alkaloids,Tetrazoles
44837,Yes,NA,pteridine alkaloids,Alkaloids,Organic sulfuric acids and derivatives
44959,Yes,NA,pteridine alkaloids,Alkaloids,Tetrazoles
45160,Yes,NA,pteridine alkaloids,Alkaloids,Azoles
473746,Yes,NA,Farnesane sesquiterpenoids,Terpenoids,Prenol lipids
475292,Yes,NA,Unsaturated fatty acids,Fatty acids,Fatty Acyls
475325,Yes,NA,Unsaturated fatty acids,Fatty acids,Fatty Acyls
47884,Yes,NA,Aminoacids,Amino acids and Peptides,Alkanolamines
48044,Yes,NA,Aminoacids,Amino acids and Peptides,Dialkyldisulfides
483941,Yes,NA,Dipeptides,Amino acids and Peptides,Alpha amino acids and derivatives
484024,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
490681,Yes,NA,Fatty alcohols,Terpenoids,Long-chain fatty alcohols
491053,Yes,NA,NA,NA,NA
49116,Yes,NA,NA,NA,NA
49681,Yes,NA,Wax monoesters,Fatty acids,Monocarboxylic acids and derivatives
49711,Yes,NA,NA,NA,NA
49772,Yes,NA,NA,NA,NA
49887,Yes,NA,Wax monoesters,Fatty acids,Phosphate esters
49889,Yes,NA,NA,NA,NA
49915,Yes,NA,NA,NA,NA
5071,Yes,NA,Pyrazine and Piperazine alkaloids,Alkaloids,Aminopyrimidines and derivatives
53156,Yes,NA,Iridoids monoterpenoids,Fatty acids,Sulfonyls
53160,Yes,NA,Oxo fatty acids,Fatty acids,Thia fatty acids
53167,Yes,NA,Iridoids monoterpenoids,Terpenoids,Sulfonyls
53215,Yes,NA,Fatty alcohols,Fatty acids,Organooxygen compounds
53745,Yes,NA,Aminoacids,Alkaloids,Heteroaromatic compounds
53954,Yes,NA,Simple indole alkaloids,Alkaloids,Indoles
54498,Yes,NA,Simple indole alkaloids,Alkaloids,Indoles
61111,Yes,NA,NA,NA,NA
61162,Yes,NA,NA,NA,NA
61620,Yes,NA,NA,NA,NA
61676,Yes,NA,NA,NA,NA
61723,Yes,NA,NA,NA,NA
635268,Yes,NA,Dipeptides,Amino acids and Peptides,N-acyl-alpha amino acids
635338,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
639342,Yes,NA,Polyamines,Alkaloids,Organonitrogen compounds
639376,Yes,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
639451,Yes,Spectral Match to Pinolenic acid from NIST14,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
67100,Yes,NA,Simple oxindole alkaloids,Alkaloids,Indolyl carboxylic acids and derivatives
6795,Yes,NA,Pyrazine and Piperazine alkaloids,Alkaloids,Azoles
7132,Yes,NA,Hydrocarbons,Fatty acids,Acetamides
733725,Yes,NA,NA,NA,NA
762652,Yes,NA,Dipeptides,Amino acids and Peptides,N-acyl-alpha amino acids
810725,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
846934,Yes,NA,Tripeptides,Amino acids and Peptides,Alpha amino acids and derivatives
850542,Yes,NA,Wax monoesters,Fatty acids,Long-chain fatty acids
850900,Yes,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
851355,Yes,"Spectral Match to cis-8,11,14-Eicosatrienoic acid from NIST14",Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
885916,Yes,Spectral Match to Phe-Phe from NIST14,Dipeptides,Amino acids and Peptides,Dipeptides
885937,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
886056,Yes,NA,Simple amide alkaloids,Alkaloids,Amino acids and derivatives
902951,Yes,NA,Imidazole alkaloids,Alkaloids,Alpha amino acid amides
926115,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
926117,Yes,NA,Dipeptides,Amino acids and Peptides,N-acyl-alpha amino acids
926194,Yes,NA,Dipeptides,Amino acids and Peptides,Alpha amino acids
