id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1606_Fetures_interest_MSV000079949_SIRIUS_fix_2657302	C39H63NO8	[M + H]+	Polyketides	0.887302756	Linear polyketides	0.951310039	Open-chain polyketides	0.970557034	Diterpene glycosides	0.832518518	Diterpene glycosides	0.832518518	Terpene glycosides	0.929377615	Prenol lipids	0.68558687	Lipids and lipid-like molecules	0.933992326	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; N-acyl amines; Dialkyl ethers; Hexoses; Monosaccharides; Secondary alcohols; Diterpene glycosides; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; Trialkylamines; Amines; Vinylogous acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1607_Fetures_interest_MSV000079949_SIRIUS_fix_2657303	C39H63NO8	[M + H]+	Polyketides	0.813224733	Steroids	0.421264082	Open-chain polyketides	0.305486768	Hydroxysteroids	0.796756268			Hydroxysteroids	0.796756268	Steroids and steroid derivatives	0.759589076	Lipids and lipid-like molecules	0.859085917	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1608_Fetures_interest_MSV000079949_SIRIUS_fix_2661091	C40H66O8	[M + H]+	Polyketides	0.73786664	Linear polyketides	0.519728184	Triacylglycerols	0.352300942	Fatty acid esters	0.877882957			Fatty acid esters	0.877882957	Fatty Acyls	0.965662777	Lipids and lipid-like molecules	0.938056827	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dialkyl ethers; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1609_Fetures_interest_MSV000079949_SIRIUS_fix_2661103	C38H68O8	[M + Na]+	Fatty acids	0.993396521	Glycerolipids	0.943681538	Triacylglycerols	0.569763899	Triacylglycerols	0.95703119	Triacylglycerols	0.95703119	Triradylcglycerols	0.887713194	Glycerolipids	0.987342179	Lipids and lipid-like molecules	0.963460624	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
161_Fetures_interest_MSV000079949_SIRIUS_fix_118394	C10H18O2S	[M + H]+	Terpenoids	0.701967835	Monoterpenoids	0.569741726	Menthane monoterpenoids	0.080403432	Benzene and substituted derivatives	0.637747705					Benzene and substituted derivatives	0.637747705	Benzenoids	0.242120564	Organic compounds; Organosulfur compounds; Organooxygen compounds; Thioethers; Benzene and substituted derivatives; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1610_Fetures_interest_MSV000079949_SIRIUS_fix_2662331	C37H53N7O5	[M + H]+	Amino acids and Peptides	0.387132376	Oligopeptides	0.137037769	Linear peptides	0.473977208	Alpha amino acids and derivatives	0.730993927	Amino acids and derivatives	0.863499284	"Amino acids, peptides, and analogues"	0.880108237	Carboxylic acids and derivatives	0.947998345	Organic acids and derivatives	0.939056516	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Carboximidamides; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1611_Fetures_interest_MSV000079949_SIRIUS_fix_2676516	C31H56N12O5	[M + H]+	Amino acids and Peptides	0.762621403	Small peptides	0.176868886	Tripeptides	0.422512472	Oligopeptides	0.923245311	Peptides	0.988102078	"Amino acids, peptides, and analogues"	0.995326161	Carboxylic acids and derivatives	0.979841232	Organic acids and derivatives	0.978249311	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1613_Fetures_interest_MSV000079949_SIRIUS_fix_2679817	C29H56N10O7	[M + Na]+	Amino acids and Peptides	0.936240256	Small peptides	0.440993071	Linear peptides	0.233756289	Oligopeptides	0.587079465	Peptides	0.985450506	"Amino acids, peptides, and analogues"	0.998838365	Carboxylic acids and derivatives	0.998817205	Organic acids and derivatives	0.999309421	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1614_Fetures_interest_MSV000079949_SIRIUS_fix_2679830	C33H50N12O4	[M + H]+	Amino acids and Peptides	0.873169661	Small peptides	0.28439489	Tripeptides	0.066971883	N-acyl-alpha amino acids and derivatives	0.884149849	Amino acids and derivatives	0.97479564	"Amino acids, peptides, and analogues"	0.983879983	Carboxylic acids and derivatives	0.890109122	Organic acids and derivatives	0.917223632	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Carboximidamides; Dialkylarylamines; Fatty Acyls; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1615_Fetures_interest_MSV000079949_SIRIUS_fix_2679838	C37H62N2O5S2	[M + H]+	Polyketides	0.684014976	Steroids	0.561038613	Open-chain polyketides	0.362340391	Steroids and steroid derivatives	0.719396889					Steroids and steroid derivatives	0.719396889	Lipids and lipid-like molecules	0.183990166	Organic compounds; Organosulfur compounds; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1616_Fetures_interest_MSV000079949_SIRIUS_fix_2680449	C30H54N12O6	[M + H]+	Amino acids and Peptides	0.610776305	Small peptides	0.127960578	Tripeptides	0.296222568	Oligopeptides	0.547150433	Peptides	0.492550731	"Amino acids, peptides, and analogues"	0.962119043	Carboxylic acids and derivatives	0.939282715	Organic acids and derivatives	0.97428596	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1618_Fetures_interest_MSV000079949_SIRIUS_fix_2683525	C28H61N11O8	[M + H]+	Amino acids and Peptides	0.745242774	Small peptides	0.498333246	Tripeptides	0.514454186	Oligopeptides	0.88031882	Peptides	0.99364388	"Amino acids, peptides, and analogues"	0.999846697	Carboxylic acids and derivatives	0.999384642	Organic acids and derivatives	0.999842167	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1619_Fetures_interest_MSV000079949_SIRIUS_fix_2686856	C40H71N3O4	[M + Na]+	Alkaloids	0.287056595	Linear polyketides	0.418620467	Open-chain polyketides	0.211656451	Dicarboxylic acids and derivatives	0.517951727			Dicarboxylic acids and derivatives	0.517951727	Carboxylic acids and derivatives	0.933765888	Organic acids and derivatives	0.930999577	"Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carbonyl compounds; 1,2-aminoalcohols; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1620_Fetures_interest_MSV000079949_SIRIUS_fix_2687340	C30H60N14O4	[M + H]+	Alkaloids	0.541679144	Ornithine alkaloids	0.404013872	Polyamines	0.333387285	N-acyl-alpha amino acids and derivatives	0.828199804	Amino acids and derivatives	0.926331997	"Amino acids, peptides, and analogues"	0.946042717	Carboxylic acids and derivatives	0.916817009	Organic acids and derivatives	0.949893057	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1621_Fetures_interest_MSV000079949_SIRIUS_fix_2689443	C33H70N4O10	[M + H]+	Polyketides	0.962447762	Oligopeptides	0.927561343	Cyclic peptides	0.391755968	Cyclic depsipeptides	0.651797235	Cyclic depsipeptides	0.651797235	Depsipeptides	0.872877002	Peptidomimetics	0.834239185	Organic acids and derivatives	1	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Macrolides and analogues; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1623_Fetures_interest_MSV000079949_SIRIUS_fix_2692993	C28H36N4O14S	[M + H]+	Amino acids and Peptides	0.609096646	Coumarins	0.555892408	Tripeptides	0.689573646	Peptides	0.923443198	Peptides	0.923443198	"Amino acids, peptides, and analogues"	0.9893713	Carboxylic acids and derivatives	0.999326348	Organic acids and derivatives	0.999989748	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Carboxylic acid esters; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"
1624_Fetures_interest_MSV000079949_SIRIUS_fix_2693005	C32H44O16	[M + H]+	Shikimates and Phenylpropanoids	0.639213443	Lignans	0.2333657	Secoiridoid monoterpenoids	0.162638962	Saccharolipids	0.678527772					Saccharolipids	0.678527772	Lipids and lipid-like molecules	0.891252637	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Fatty Acyls; Saccharolipids; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities
1625_Fetures_interest_MSV000079949_SIRIUS_fix_2693044	C29H42N8O9	[M + K]+	Amino acids and Peptides	0.776685119	Small peptides	0.44209072	Tripeptides	0.212655842	N-acyl-alpha amino acids and derivatives	0.796676934	Amino acids and derivatives	0.981998026	"Amino acids, peptides, and analogues"	0.985652685	Carboxylic acids and derivatives	0.989490211	Organic acids and derivatives	0.999601066	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1626_Fetures_interest_MSV000079949_SIRIUS_fix_2693908	C29H60N6O12	[M + H]+	Amino acids and Peptides	0.711778343	Oligopeptides	0.682600617	Depsipeptides	0.031089412	Alpha amino acids and derivatives	0.883984387	Amino acids and derivatives	0.985179901	"Amino acids, peptides, and analogues"	0.990008593	Carboxylic acids and derivatives	0.997626841	Organic acids and derivatives	0.99973923	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1627_Fetures_interest_MSV000079949_SIRIUS_fix_2693926	C25H56N12O10	[M + H]+	Amino acids and Peptides	0.780187488	Oligopeptides	0.075655401	Polyamines	0.020994533	Peptides	0.89543128	Peptides	0.89543128	"Amino acids, peptides, and analogues"	0.99218303	Carboxylic acids and derivatives	0.984048843	Organic acids and derivatives	0.992980301	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Acetohydroxamic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1628_Fetures_interest_MSV000079949_SIRIUS_fix_270721	C14H28O2	[M + H]+	Fatty acids	0.930746496	Fatty Acids and Conjugates	0.563226402	Wax monoesters	0.485384673	Straight chain fatty acids	0.543368459	Straight chain fatty acids	0.543368459	Fatty acids and conjugates	0.471547425	Fatty Acyls	0.927657604	Lipids and lipid-like molecules	0.920741022	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1629_Fetures_interest_MSV000079949_SIRIUS_fix_271305	C12H26N3O	[M + H]+	Alkaloids	0.924353182	Ornithine alkaloids	0.397663414	Polyamines	0.119883128	Alpha amino acid amides	0.767043293	Amino acids and derivatives	0.838559031	"Amino acids, peptides, and analogues"	0.843686879	Carboxylic acids and derivatives	0.855592608	Organic acids and derivatives	0.862588346	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
163_Fetures_interest_MSV000079949_SIRIUS_fix_1186807	C12H25N5O5S	[M + H]+	Amino acids and Peptides	0.987016857	Small peptides	0.999587238	Aminoacids	0.23346439	Peptides	0.980270624	Peptides	0.980270624	"Amino acids, peptides, and analogues"	0.999794781	Carboxylic acids and derivatives	0.998387575	Organic acids and derivatives	0.999842405	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Thia fatty acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1630_Fetures_interest_MSV000079949_SIRIUS_fix_2714489	C40H63NO8	[M + H]+	Polyketides	0.944934845	Linear polyketides	0.556662917	Open-chain polyketides	0.932879448	Diterpenoids	0.643403053			Diterpenoids	0.643403053	Prenol lipids	0.832949221	Lipids and lipid-like molecules	0.900810897	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Monosaccharides; Diterpenoids; Secondary alcohols; Carbonyl compounds; Oxanes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1631_Fetures_interest_MSV000079949_SIRIUS_fix_2715758	C30H67N5O8P2	[M + H]+	Fatty acids	0.989345014	Sphingolipids	0.994196177	Phosphosphingolipids	0.843269646	Phosphosphingolipids	0.969536602			Phosphosphingolipids	0.969536602	Sphingolipids	0.964260995	Lipids and lipid-like molecules	0.878657401	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Phosphocholines; Phosphoethanolamines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Phosphosphingolipids; Alkyl phosphates; Dialkyl phosphates; Organic salts; Fatty Acyls; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1632_Fetures_interest_MSV000079949_SIRIUS_fix_2715872	C40H65NO8	[M + H]+	Terpenoids	0.908444345	Diterpenoids	0.766758084	Open-chain polyketides	0.074938998	Diterpenoids	0.971940458			Diterpenoids	0.971940458	Prenol lipids	0.903467953	Lipids and lipid-like molecules	0.989582181	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Pyridines and derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Diterpenoids; Carbonyl compounds; Tricarboxylic acids and derivatives; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1633_Fetures_interest_MSV000079949_SIRIUS_fix_2715912	C40H65NO8	[M + H]+	Terpenoids	0.630631447	Diterpenoids	0.426732659	Open-chain polyketides	0.107067287	Alpha amino acid esters	0.697338104	Amino acids and derivatives	0.92892909	"Amino acids, peptides, and analogues"	0.923411071	Carboxylic acids and derivatives	0.999319434	Organic acids and derivatives	0.99993372	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Trialkylamines; Benzenoids; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1634_Fetures_interest_MSV000079949_SIRIUS_fix_2716109	C31H57N15O3	[M + H]+	Alkaloids	0.809320807	Ornithine alkaloids	0.504359186	Polyamines	0.350267857	N-acyl-alpha amino acids and derivatives	0.695761561	Amino acids and derivatives	0.78421855	"Amino acids, peptides, and analogues"	0.838573813	Carboxylic acids and derivatives	0.693487883	Organic acids and derivatives	0.763231635	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
